date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:15	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2015%20Jun%202022%2004:42:16%20GMT	https://www.bradypatterson.design/robots.txt		(from )
10:12:16	67231/67231	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2004:42:16%20GMT	https://www.bradypatterson.design/	D:/local%20c/portfolio/www.bradypatterson.design/index.html	(from )
10:12:18	206110/206110	---M-Z	200	added ('OK')	text/css	etag:%226734d7143a275ba0ebba97302fe3ce14%22	https://uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/css/bradys-portfolio-2022.webflow.352a99942.css	D:/local%20c/portfolio/uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/css/bradys-portfolio-2022.webflow.352a99942.css	(from https://www.bradypatterson.design/)
10:12:18	907/907	---M--	200	added ('OK')	image/png	etag:%222311e8daf395852a0df404e51719da30%22	https://uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/6200513ea34107cf9ec173a6_BP_FAVICON%201.png	D:/local%20c/portfolio/uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/6200513ea34107cf9ec173a6_BP_FAVICON%201.png	(from https://www.bradypatterson.design/)
10:12:19	6771/6771	---M--	200	added ('OK')	image/png	etag:%224233886ccaa4f74f5e20701aa4be1f52%22	https://uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/62005143e7b948cf0e91db19_BP_FAVICON%202.png	D:/local%20c/portfolio/uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/62005143e7b948cf0e91db19_BP_FAVICON%202.png	(from https://www.bradypatterson.design/)
10:12:19	17233/17233	---M-Z	200	added ('OK')	application/javascript	etag:W/%224351-F2VcN8yOf1fitBUikK1Q2MTvH9U%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	D:/local%20c/portfolio/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://www.bradypatterson.design/)
10:12:19	2339/2339	---M--	200	added ('OK')	image/png	etag:%2287760896ae4290e117ebbe4f7a9d28c9%22	https://uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/61e4810b4a0c7c2f9edaa223_Group%202%20(1).png	D:/local%20c/portfolio/uploads-ssl.webflow.com/61d4b50a3b130a78a63644fe/61e4810b4a0c7c2f9edaa223_Group%202%20(1).png	(from https://www.bradypatterson.design/)
10:12:20	53941/53941	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2004:42:20%20GMT	https://www.bradypatterson.design/about	D:/local%20c/portfolio/www.bradypatterson.design/about.html	(from https://www.bradypatterson.design/)
10:12:21	49139/49139	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2004:42:21%20GMT	https://www.bradypatterson.design/work	D:/local%20c/portfolio/www.bradypatterson.design/work.html	(from https://www.bradypatterson.design/)
10:12:21	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2015%20Jun%202022%2004:42:22%20GMT	https://www.bradypatterson.design/product/futurist-customs	D:/local%20c/portfolio/www.bradypatterson.design/product/futurist-customs	(from https://www.bradypatterson.design/)
